Census_Tract,Black Total Mortality,White Total Mortality,Total Mortality,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes,Flu and pneumonia,Heart disease,Homicide,Septicemia,Stroke,Suicide,Unintentional injuries
42003010300,24,23,47,0,9,0,0,0,0,13,0,0,0,0,10
42003020100,37,84,121,0,23,0,0,0,0,40,0,0,0,0,15
42003020300,0,8,13,0,0,0,0,0,0,5,0,0,0,0,0
42003030500,176,16,192,0,54,0,7,0,0,50,0,0,7,0,6
42003040200,57,35,92,0,13,0,7,0,0,19,0,0,5,0,11
42003040400,9,145,154,8,35,0,0,0,5,28,0,0,7,0,9
42003040500,0,27,29,0,5,0,0,0,0,9,0,0,0,0,0
42003040600,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
42003040900,41,60,101,0,20,0,5,0,0,23,0,0,6,0,9
42003050100,171,0,176,0,42,0,0,0,7,44,6,0,5,0,14
42003050600,106,85,191,7,38,0,5,0,6,48,5,5,13,0,8
42003050900,84,0,88,0,25,0,0,0,0,21,0,0,0,0,8
42003051000,79,0,79,0,17,0,0,0,0,17,0,0,6,0,7
42003051100,37,0,37,0,7,0,0,0,0,10,0,0,0,0,0
42003060300,16,111,127,0,30,5,7,0,0,23,0,0,5,0,13
42003060500,9,66,75,0,16,0,6,0,0,25,0,0,0,0,0
42003070300,23,51,74,5,10,0,0,0,0,13,0,0,10,0,0
42003070500,0,28,33,0,5,0,0,0,0,9,0,0,0,0,5
42003070600,0,36,38,0,11,0,0,0,0,0,0,0,0,0,0
42003070800,0,32,32,0,0,0,0,0,0,13,0,0,0,0,7
42003070900,42,147,189,16,34,0,0,0,5,54,0,6,9,0,6
42003080200,0,129,133,0,20,0,9,0,0,29,0,0,6,0,12
42003080400,0,33,35,0,8,0,0,0,0,11,0,0,0,0,0
42003080600,0,46,49,0,11,0,0,0,0,14,0,0,0,0,0
42003080700,7,19,26,0,5,0,0,0,0,7,0,0,0,0,0
42003080900,10,49,59,0,10,0,5,0,0,17,0,0,0,0,5
42003090100,0,76,81,0,17,0,5,0,0,23,0,0,0,0,6
42003090200,22,156,178,11,30,0,11,0,0,44,0,0,6,0,10
42003090300,0,74,75,0,15,0,0,0,0,14,0,0,5,0,8
42003100500,61,39,100,0,18,0,0,0,0,31,0,0,8,0,0
42003101100,8,107,115,0,28,0,6,0,0,26,0,0,7,0,15
42003101400,11,147,158,0,34,0,5,12,0,39,0,0,8,0,15
42003101600,31,0,34,0,6,0,0,0,0,0,0,0,0,0,0
42003101700,77,30,107,0,17,0,8,5,0,24,5,0,5,0,7
42003101800,30,111,141,6,29,0,5,0,0,35,0,0,7,5,8
42003110200,42,110,152,7,32,0,6,0,0,33,0,6,8,0,9
42003110600,13,47,60,0,11,0,6,0,0,11,0,0,0,0,0
42003111300,58,47,105,0,12,0,0,0,5,25,0,0,0,0,7
42003111400,43,0,46,0,15,0,0,0,0,7,0,0,0,0,0
42003111500,170,58,228,0,50,0,16,6,5,61,7,11,5,0,11
42003120300,78,0,82,0,14,0,0,0,0,16,8,0,8,0,5
42003120400,63,11,74,0,18,0,0,0,0,22,0,0,6,0,0
42003120700,55,0,57,0,10,0,0,0,0,16,0,0,0,0,0
42003120800,72,31,103,6,15,0,0,0,0,26,0,0,0,0,0
42003130100,72,0,75,0,12,0,0,0,5,13,0,0,6,0,0
42003130200,103,0,103,0,27,0,0,0,0,27,6,0,0,0,8
42003130300,103,0,105,0,25,0,7,5,0,26,6,0,5,0,5
42003130400,101,0,103,0,20,0,0,5,0,27,5,0,5,0,0
